,name,year_of_release,genre,platform,na_sales,eu_sales,jp_sales,other_sales
3439,Call of Duty: Black Ops,2010.0,Shooter,DS,0.5,0.04,0.0,0.04
32,Call of Duty: Black Ops,2010.0,Shooter,X360,9.7,3.68,0.11,1.13
1131,Call of Duty: Black Ops,,Shooter,PC,0.58,0.81,0.0,0.23
41,Call of Duty: Black Ops,2010.0,Shooter,PS3,5.99,4.37,0.48,1.79
11326,Captain America: Super Soldier,2011.0,Action,3DS,0.05,0.02,0.0,0.01
8305,Captain America: Super Soldier,2011.0,Action,X360,0.11,0.05,0.0,0.01
12896,Captain America: Super Soldier,,Action,Wii,0.05,0.0,0.0,0.0
7749,Captain America: Super Soldier,2011.0,Action,PS3,0.1,0.06,0.0,0.03
13060,Captain America: Super Soldier,,Action,DS,0.05,0.0,0.0,0.0
9664,Charm Girls Club: My Fashion Mall,,Simulation,DS,0.12,0.0,0.0,0.01
11338,Charm Girls Club: My Fashion Show,,Simulation,DS,0.08,0.0,0.0,0.01
12524,Chou Soujuu Mecha MG,,Simulation,DS,0.0,0.0,0.06,0.0
4220,Circus Atari,,Action,2600,0.43,0.03,0.0,0.0
13672,Clockwork Empires,,Strategy,PC,0.0,0.04,0.0,0.0
9831,College Hoops 2K6,2006.0,Sports,X360,0.11,0.0,0.0,0.01
10682,College Hoops 2K6,2005.0,Sports,XB,0.07,0.02,0.0,0.0
6624,College Hoops 2K6,,Sports,PS2,0.12,0.1,0.0,0.03
1585,Combat,,Action,2600,1.17,0.07,0.0,0.01
12584,Combat Elite: WWII Paratroopers,,Shooter,PS2,0.03,0.02,0.0,0.01
14546,Combat Elite: WWII Paratroopers,,Shooter,XB,0.02,0.01,0.0,0.0
14950,Combat Wings: The Great Battles of WWII,,Simulation,Wii,0.02,0.0,0.0,0.0
5194,Cubix Robots for Everyone: Clash 'n' Bash,,Action,GBA,0.26,0.1,0.0,0.01
5112,Custom Robo,2004.0,Role-Playing,GC,0.29,0.07,0.0,0.01
5492,Custom Robo,,Role-Playing,N64,0.0,0.0,0.29,0.04
16059,Dance! It's Your Stage,,Misc,Wii,0.0,0.01,0.0,0.0
15514,Dance! It's Your Stage,2011.0,Misc,PS3,0.0,0.02,0.0,0.0
7406,DanceDanceRevolution II,,Misc,Wii,0.2,0.0,0.0,0.01
6899,Danganronpa: Trigger Happy Havoc,,Misc,PSP,0.0,0.0,0.24,0.0
5525,Danganronpa: Trigger Happy Havoc,2013.0,Misc,PSV,0.09,0.05,0.15,0.04
2625,Dead Island: Riptide,2013.0,Action,X360,0.44,0.26,0.01,0.07
11954,Dead Island: Riptide,,Action,PC,0.0,0.07,0.0,0.01
3333,Dead Island: Riptide,2013.0,Action,PS3,0.26,0.19,0.07,0.09
2138,Dead Space 3,2013.0,Action,PS3,0.44,0.36,0.0,0.16
7724,Dead Space 3,,Action,PC,0.02,0.16,0.0,0.02
2107,Dead Space 3,2013.0,Action,X360,0.64,0.26,0.0,0.08
998,Def Jam: Fight for NY,2004.0,Fighting,PS2,0.86,0.67,0.0,0.22
7125,Def Jam: Fight for NY,2004.0,Fighting,GC,0.17,0.05,0.0,0.01
3704,Def Jam: Fight for NY,,Fighting,XB,0.43,0.1,0.0,0.02
11000,Demon Chaos,,Action,PS2,0.0,0.0,0.09,0.0
16442,Dinotopia: The Sunstone Odyssey,2003.0,Action,XB,0.01,0.0,0.0,0.0
15966,Dinotopia: The Sunstone Odyssey,,Action,GC,0.01,0.0,0.0,0.0
6293,Disgaea 3: Absence of Detention,,Role-Playing,PSV,0.11,0.05,0.07,0.03
10465,Disney's Chicken Little: Ace In Action,,Shooter,Wii,0.09,0.0,0.0,0.01
12299,Disney's Chicken Little: Ace In Action,2006.0,Shooter,DS,0.06,0.0,0.0,0.0
9293,Disney's Cinderella: Magical Dreams,,Platform,GBA,0.1,0.04,0.0,0.0
2010,Donkey Kong Land III,,Platform,GB,0.68,0.31,0.0,0.04
5294,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),,Action,Wii,0.15,0.05,0.14,0.01
5642,Dragster,,Racing,2600,0.3,0.02,0.0,0.0
12046,Drake of the 99 Dragons,,Shooter,XB,0.05,0.01,0.0,0.0
16017,Dream Dancer,,Misc,DS,0.01,0.0,0.0,0.0
11943,Dream Trigger 3D,,Shooter,3DS,0.04,0.02,0.0,0.01
12970,Drill Dozer,,Platform,GBA,0.04,0.01,0.0,0.0
10837,Egg Monster Hero,,Role-Playing,DS,0.0,0.0,0.09,0.0
377,FIFA Soccer 2004,,Sports,PS2,0.59,2.36,0.04,0.51
2606,FIFA Soccer 2004,2003.0,Sports,XB,0.24,0.49,0.0,0.05
13086,FIFA Soccer 2004,2003.0,Sports,GBA,0.04,0.01,0.0,0.0
12029,FIFA Soccer 2004,2003.0,Sports,GC,0.05,0.01,0.0,0.0
11377,Face Racers: Photo Finish,,Racing,3DS,0.08,0.0,0.0,0.01
7605,Famista 64,,Sports,N64,0.0,0.0,0.17,0.03
16080,Ferrari: The Race Experience,,Racing,Wii,0.0,0.01,0.0,0.0
7785,Final Fantasy XI,2006.0,Role-Playing,X360,0.17,0.01,0.0,0.01
5588,Final Fantasy XI,,Role-Playing,PS2,0.08,0.06,0.15,0.02
3883,Fishing Derby,,Sports,2600,0.48,0.03,0.0,0.01
6299,Flag Capture,,Action,2600,0.25,0.02,0.0,0.0
12718,Flip's Twisted World,,Platform,Wii,0.05,0.0,0.0,0.0
16079,Football Manager 2007,,Sports,X360,0.0,0.01,0.0,0.0
14532,Freaky Flyers,2003.0,Racing,XB,0.02,0.01,0.0,0.0
10551,Freaky Flyers,2003.0,Racing,PS2,0.05,0.04,0.0,0.01
16405,Freaky Flyers,,Racing,GC,0.01,0.0,0.0,0.0
657,Frogger's Adventures: Temple of the Frog,,Adventure,GBA,2.15,0.18,0.0,0.07
14449,Fullmetal Alchemist: Brotherhood,,Action,PSP,0.0,0.0,0.03,0.0
2396,GRID,2008.0,Racing,X360,0.33,0.44,0.01,0.09
13781,GRID,,Racing,PC,0.0,0.03,0.0,0.01
13142,GRID,,Racing,DS,0.04,0.0,0.0,0.0
1868,GRID,2008.0,Racing,PS3,0.31,0.56,0.03,0.2
11396,Get Fit with Mel B,2010.0,Sports,Wii,0.03,0.04,0.0,0.01
5029,Get Fit with Mel B,2010.0,Sports,PS3,0.15,0.16,0.0,0.07
11550,Get Fit with Mel B,,Sports,X360,0.0,0.06,0.0,0.01
7353,Ghostbusters II,,Action,2600,0.2,0.01,0.0,0.0
10258,GiFTPiA,,Role-Playing,GC,0.0,0.0,0.11,0.0
9830,Godzilla: Destroy All Monsters Melee,,Fighting,XB,0.09,0.03,0.0,0.0
2872,Godzilla: Destroy All Monsters Melee,2002.0,Fighting,GC,0.55,0.14,0.0,0.02
3854,Gun,2005.0,Shooter,XB,0.38,0.12,0.0,0.02
6342,Gun,,Shooter,X360,0.24,0.01,0.0,0.02
1719,Gun,2005.0,Shooter,PS2,0.98,0.04,0.0,0.16
8112,Gun,2005.0,Shooter,GC,0.14,0.04,0.0,0.0
16458,Hakuouki: Shinsengumi Kitan,,Adventure,PS3,0.01,0.0,0.0,0.0
14105,Half-Minute Hero 2,,Role-Playing,PSP,0.0,0.0,0.04,0.0
5041,Hangman,,Puzzle,2600,0.35,0.02,0.0,0.0
10117,Happy Feet Two,2011.0,Action,3DS,0.08,0.02,0.0,0.01
10317,Happy Feet Two,,Action,PS3,0.09,0.0,0.0,0.01
11622,Happy Feet Two,,Action,Wii,0.06,0.01,0.0,0.01
10686,Happy Feet Two,,Action,DS,0.08,0.01,0.0,0.01
10790,Happy Feet Two,,Action,X360,0.08,0.01,0.0,0.01
4848,Harvest Moon: Save the Homeland,,Simulation,PS2,0.19,0.15,0.0,0.05
3617,Harvest Moon: The Tale of Two Towns,2010.0,Simulation,DS,0.25,0.05,0.22,0.03
5874,Harvest Moon: The Tale of Two Towns,,Simulation,3DS,0.28,0.0,0.0,0.02
6101,Haven: Call of the King,,Platform,PS2,0.14,0.11,0.0,0.04
483,Hitman 2: Silent Assassin,2002.0,Action,PS2,1.36,1.15,0.04,0.41
1699,Hitman 2: Silent Assassin,,Action,XB,0.76,0.38,0.0,0.05
9493,Hitman 2: Silent Assassin,2003.0,Action,GC,0.1,0.03,0.0,0.0
8740,Home Run,,Sports,2600,0.14,0.01,0.0,0.0
16277,Homeworld Remastered Collection,,Strategy,PC,0.0,0.01,0.0,0.0
14126,Housekeeping,,Action,DS,0.0,0.0,0.04,0.0
6266,Indy 500,,Racing,2600,0.26,0.01,0.0,0.0
12146,Inversion,2012.0,Shooter,PS3,0.03,0.03,0.0,0.01
12678,Inversion,2012.0,Shooter,X360,0.03,0.02,0.0,0.01
16448,Inversion,,Shooter,PC,0.01,0.0,0.0,0.0
11937,James Cameron's Dark Angel,2002.0,Action,XB,0.05,0.02,0.0,0.0
8319,James Cameron's Dark Angel,,Action,PS2,0.08,0.07,0.0,0.02
15998,Jet Impulse,,Simulation,DS,0.0,0.0,0.02,0.0
6954,Jet X20,,Racing,PS2,0.11,0.09,0.0,0.03
12880,Jewel Link Chronicles: Mountains of Madness,,Puzzle,DS,0.0,0.05,0.0,0.01
6636,Jonah Lomu Rugby Challenge,,Sports,PS3,0.0,0.19,0.0,0.06
13433,Jonah Lomu Rugby Challenge,2011.0,Sports,PC,0.0,0.04,0.0,0.01
5782,Jonah Lomu Rugby Challenge,2011.0,Sports,X360,0.09,0.19,0.0,0.03
8680,Jurassic Park: The Game,,Action,X360,0.15,0.0,0.0,0.01
4132,Karate,,Fighting,2600,0.44,0.03,0.0,0.0
460,LEGO Batman: The Videogame,2008.0,Action,DS,1.75,1.01,0.0,0.29
456,LEGO Batman: The Videogame,,Action,Wii,1.8,0.97,0.0,0.29
397,LEGO Batman: The Videogame,2008.0,Action,X360,2.04,1.02,0.0,0.32
12465,LEGO Batman: The Videogame,2008.0,Action,PC,0.02,0.03,0.0,0.01
1553,LEGO Batman: The Videogame,2008.0,Action,PS2,0.72,0.03,0.0,0.52
1519,LEGO Batman: The Videogame,2008.0,Action,PS3,0.72,0.39,0.0,0.19
1538,LEGO Batman: The Videogame,,Action,PSP,0.57,0.44,0.0,0.27
7210,LEGO Harry Potter: Years 5-7,,Action,PC,0.05,0.14,0.0,0.03
2273,LEGO Harry Potter: Years 5-7,,Action,PS3,0.36,0.41,0.0,0.15
2132,LEGO Harry Potter: Years 5-7,,Action,X360,0.51,0.37,0.0,0.09
3081,LEGO Harry Potter: Years 5-7,,Action,DS,0.34,0.25,0.0,0.07
4818,LEGO Harry Potter: Years 5-7,,Action,3DS,0.18,0.19,0.0,0.03
1609,LEGO Harry Potter: Years 5-7,,Action,Wii,0.69,0.42,0.0,0.12
8059,LEGO Harry Potter: Years 5-7,2012.0,Action,PSV,0.07,0.07,0.0,0.03
6476,LEGO Harry Potter: Years 5-7,,Action,PSP,0.1,0.1,0.0,0.06
329,LEGO Indiana Jones: The Original Adventures,2008.0,Action,X360,2.4,1.01,0.0,0.36
13714,LEGO Indiana Jones: The Original Adventures,2008.0,Action,PC,0.02,0.02,0.0,0.0
1723,LEGO Indiana Jones: The Original Adventures,2008.0,Action,PSP,0.4,0.48,0.0,0.29
2013,LEGO Indiana Jones: The Original Adventures,2008.0,Action,PS3,0.44,0.42,0.0,0.17
743,LEGO Indiana Jones: The Original Adventures,2008.0,Action,DS,1.4,0.59,0.0,0.2
678,LEGO Indiana Jones: The Original Adventures,,Action,Wii,1.51,0.61,0.0,0.21
1408,LEGO Indiana Jones: The Original Adventures,2008.0,Action,PS2,0.6,0.01,0.0,0.76
1984,Legacy of Kain: Soul Reaver,,Action,PS,0.58,0.4,0.0,0.07
15119,Legacy of Ys: Books I & II,,Role-Playing,DS,0.02,0.0,0.0,0.0
10764,Luminous Arc 2 (JP sales),,Role-Playing,DS,0.0,0.0,0.1,0.0
13874,Luxor: Pharaoh's Challenge,,Puzzle,Wii,0.01,0.02,0.0,0.0
16568,Luxor: Pharaoh's Challenge,2007.0,Puzzle,DS,0.0,0.01,0.0,0.0
7541,MLB SlugFest 20-03,2002.0,Sports,XB,0.15,0.04,0.0,0.01
2492,MLB SlugFest 20-03,,Sports,PS2,0.41,0.32,0.0,0.11
8983,MLB SlugFest 20-03,2002.0,Sports,GC,0.11,0.03,0.0,0.0
7015,Madden NFL 06,2005.0,Sports,GBA,0.17,0.06,0.0,0.0
213,Madden NFL 06,2005.0,Sports,PS2,3.98,0.26,0.01,0.66
2736,Madden NFL 06,2005.0,Sports,PSP,0.69,0.0,0.0,0.06
931,Madden NFL 06,2005.0,Sports,XB,1.75,0.03,0.0,0.08
3413,Madden NFL 06,,Sports,X360,0.54,0.0,0.01,0.03
3506,Madden NFL 06,2005.0,Sports,GC,0.44,0.11,0.0,0.02
9735,Madden NFL 06,2005.0,Sports,DS,0.11,0.0,0.0,0.01
7372,Madden NFL 07,2006.0,Sports,DS,0.2,0.0,0.0,0.02
2035,Madden NFL 07,2006.0,Sports,XB,0.97,0.03,0.0,0.03
3229,Madden NFL 07,2006.0,Sports,GC,0.48,0.13,0.0,0.02
972,Madden NFL 07,2006.0,Sports,X360,1.66,0.0,0.01,0.13
14889,Madden NFL 07,2006.0,Sports,GBA,0.02,0.01,0.0,0.0
4006,Madden NFL 07,2006.0,Sports,Wii,0.46,0.0,0.0,0.04
2479,Madden NFL 07,,Sports,PSP,0.77,0.03,0.0,0.04
241,Madden NFL 07,2006.0,Sports,PS2,3.63,0.24,0.01,0.61
3838,Madden NFL 07,2006.0,Sports,PS3,0.47,0.0,0.01,0.04
661,Madden NFL 11,2010.0,Sports,PS3,2.04,0.15,0.0,0.2
2849,Madden NFL 11,,Sports,Wii,0.68,0.0,0.0,0.04
3987,Madden NFL 11,2010.0,Sports,PS2,0.41,0.02,0.0,0.07
5049,Madden NFL 11,2010.0,Sports,PSP,0.35,0.0,0.0,0.03
561,Madden NFL 11,2010.0,Sports,X360,2.38,0.12,0.0,0.18
5660,Madden NFL 2002,2001.0,Sports,GBA,0.23,0.08,0.0,0.01
1387,Madden NFL 2002,2001.0,Sports,PS,0.78,0.53,0.0,0.09
4474,Madden NFL 2002,2001.0,Sports,N64,0.41,0.02,0.0,0.0
3314,Madden NFL 2002,2001.0,Sports,GC,0.47,0.12,0.0,0.02
3486,Madden NFL 2002,,Sports,XB,0.53,0.02,0.0,0.03
452,Madden NFL 2002,2001.0,Sports,PS2,2.5,0.16,0.01,0.42
3889,Madden NFL 2004,2003.0,Sports,GC,0.4,0.1,0.0,0.01
183,Madden NFL 2004,,Sports,PS2,4.26,0.26,0.01,0.71
5708,Madden NFL 2004,2003.0,Sports,GBA,0.22,0.08,0.0,0.01
1881,Madden NFL 2004,2003.0,Sports,XB,1.02,0.02,0.0,0.05
14369,Majesty 2: The Fantasy Kingdom Sim,,Simulation,X360,0.03,0.0,0.0,0.0
15961,Majesty 2: The Fantasy Kingdom Sim,2009.0,Simulation,PC,0.01,0.0,0.0,0.0
4378,Major League Baseball 2K6,2006.0,Sports,PS2,0.37,0.01,0.0,0.06
5079,Major League Baseball 2K6,2006.0,Sports,X360,0.34,0.0,0.0,0.03
5542,Major League Baseball 2K6,2006.0,Sports,XB,0.24,0.07,0.0,0.01
9876,Major League Baseball 2K6,,Sports,PSP,0.11,0.0,0.0,0.01
8227,Major League Baseball 2K6,2006.0,Sports,GC,0.13,0.03,0.0,0.0
9267,Major League Baseball 2K8,2008.0,Sports,Wii,0.13,0.0,0.0,0.01
3302,Major League Baseball 2K8,2008.0,Sports,X360,0.56,0.0,0.0,0.05
8907,Major League Baseball 2K8,2008.0,Sports,PS2,0.07,0.06,0.0,0.02
14141,Major League Baseball 2K8,,Sports,PSP,0.03,0.0,0.0,0.0
5772,Major League Baseball 2K8,2008.0,Sports,PS3,0.28,0.0,0.0,0.03
15338,Mario Tennis,,Sports,3DS,0.0,0.0,0.02,0.0
683,Mario Tennis,2000.0,Sports,N64,0.78,0.4,1.06,0.07
1711,Mario Tennis,2000.0,Sports,GB,0.5,0.18,0.44,0.06
12180,Mario Tennis,2010.0,Sports,Wii,0.0,0.06,0.0,0.01
4337,Maze Craze: A Game of Cops 'n Robbers,,Action,2600,0.42,0.02,0.0,0.0
12011,McFarlane's Evil Prophecy,,Action,PS2,0.03,0.03,0.0,0.01
11790,Mega Man Battle Network: Operation Shooting Star,,Role-Playing,DS,0.0,0.0,0.07,0.0
6773,Mega Man X Collection,,Misc,PS2,0.12,0.09,0.0,0.03
9630,Mega Man X Collection,2006.0,Misc,GC,0.1,0.03,0.0,0.0
3223,Metal Gear Solid 2: Substance,,Action,XB,0.38,0.22,0.0,0.03
3830,Metal Gear Solid 2: Substance,2002.0,Action,PS2,0.18,0.14,0.16,0.05
12734,Mobile Ops: The One Year War,,Simulation,X360,0.0,0.0,0.06,0.0
3187,Monster Hunter 2,,Role-Playing,PS2,0.0,0.0,0.63,0.0
9534,Monster Hunter Frontier Online,2010.0,Role-Playing,X360,0.0,0.0,0.13,0.0
13317,Monster Hunter Frontier Online,,Role-Playing,PS3,0.0,0.0,0.05,0.0
12959,Mountain Bike Adrenaline,,Sports,PS2,0.03,0.02,0.0,0.01
7387,Move Fitness,,Sports,PS3,0.0,0.16,0.0,0.05
10612,My Healthy Cooking Coach,,Simulation,DS,0.09,0.0,0.0,0.01
5787,NASCAR Thunder 2003,2002.0,Racing,GC,0.24,0.06,0.0,0.01
1650,NASCAR Thunder 2003,,Racing,PS2,0.6,0.46,0.0,0.16
6361,NASCAR Thunder 2003,2002.0,Racing,XB,0.2,0.06,0.0,0.01
10999,NASCAR: Dirt to Daytona,2002.0,Racing,GC,0.07,0.02,0.0,0.0
3459,NASCAR: Dirt to Daytona,,Racing,PS2,0.28,0.22,0.0,0.07
1104,NBA Live 2003,2002.0,Sports,PS2,1.25,0.15,0.03,0.22
5889,NBA Live 2003,,Sports,GC,0.23,0.06,0.0,0.01
5156,NBA Live 2003,,Sports,XB,0.31,0.04,0.0,0.01
8197,NBA Starting Five,,Sports,PS2,0.09,0.07,0.0,0.02
15042,NBA Starting Five,2002.0,Sports,XB,0.02,0.01,0.0,0.0
877,NBA Street Vol. 2,2003.0,Sports,PS2,1.69,0.2,0.0,0.06
3739,NBA Street Vol. 2,,Sports,GC,0.41,0.11,0.0,0.01
2972,NBA Street Vol. 2,2003.0,Sports,XB,0.62,0.04,0.0,0.02
4775,NFL GameDay 2003,,Sports,PS2,0.2,0.15,0.0,0.05
13792,NHL Hitz Pro,,Sports,GC,0.03,0.01,0.0,0.0
12272,NHL Hitz Pro,2003.0,Sports,XB,0.05,0.01,0.0,0.0
7799,NHL Hitz Pro,2003.0,Sports,PS2,0.09,0.07,0.0,0.02
4635,NHL Slapshot,,Sports,Wii,0.39,0.0,0.0,0.02
3215,Namco Museum,2002.0,Misc,GC,0.48,0.13,0.0,0.02
266,Namco Museum,2001.0,Misc,GBA,3.0,1.11,0.05,0.07
961,Namco Museum,2001.0,Misc,PS2,1.73,0.07,0.0,0.02
2281,Namco Museum,,Misc,XB,0.77,0.11,0.0,0.04
10844,National Geographic Challenge!,2011.0,Misc,Wii,0.07,0.02,0.0,0.01
12235,National Geographic Challenge!,,Misc,X360,0.06,0.0,0.0,0.0
13724,National Geographic Challenge!,2011.0,Misc,PS3,0.01,0.03,0.0,0.01
5959,Nicktoons: Battle for Volcano Island,2006.0,Action,DS,0.27,0.0,0.0,0.02
6019,Nicktoons: Battle for Volcano Island,,Action,GC,0.22,0.06,0.0,0.01
9516,Nintendo Puzzle Collection,,Puzzle,GC,0.0,0.0,0.13,0.0
8151,Otomedius Excellent,,Shooter,X360,0.13,0.0,0.04,0.01
9119,Our House Party!,,Simulation,Wii,0.13,0.0,0.0,0.01
6917,PDC World Championship Darts 2008,2008.0,Sports,Wii,0.02,0.21,0.0,0.01
16373,PDC World Championship Darts 2008,,Sports,PSP,0.01,0.0,0.0,0.0
15953,PDC World Championship Darts 2008,,Sports,DS,0.01,0.0,0.0,0.0
617,PES 2009: Pro Evolution Soccer,2008.0,Sports,PS2,0.13,0.07,0.26,2.05
2068,PES 2009: Pro Evolution Soccer,2008.0,Sports,X360,0.13,0.76,0.03,0.09
2572,PES 2009: Pro Evolution Soccer,,Sports,PSP,0.04,0.33,0.26,0.17
4329,PES 2009: Pro Evolution Soccer,2009.0,Sports,Wii,0.09,0.26,0.05,0.05
783,PES 2009: Pro Evolution Soccer,2008.0,Sports,PS3,0.11,1.33,0.4,0.26
3884,Pac-Man Fever,2001.0,Misc,PS2,0.25,0.2,0.0,0.07
6199,Pac-Man Fever,,Misc,GC,0.21,0.06,0.0,0.01
15079,Payout Poker & Casino,,Misc,PSP,0.02,0.0,0.0,0.0
7848,Pet Zombies,,Simulation,3DS,0.18,0.0,0.0,0.01
11925,Port Royale 3,,Simulation,PS3,0.06,0.0,0.0,0.01
12221,Port Royale 3,,Simulation,X360,0.06,0.0,0.0,0.01
12568,Prinny: Can I Really Be The Hero? (US sales),,Action,PSP,0.06,0.0,0.0,0.0
12217,Rayman Arena,,Racing,XB,0.05,0.01,0.0,0.0
3343,Rayman Arena,2001.0,Racing,PS2,0.29,0.23,0.0,0.08
9230,Rayman Arena,2002.0,Racing,GC,0.11,0.03,0.0,0.0
13289,Reader Rabbit 2nd Grade,,Misc,Wii,0.04,0.0,0.0,0.0
9703,Record of Agarest War Zero,,Strategy,PS3,0.09,0.0,0.03,0.01
10606,Record of Agarest War Zero,2010.0,Strategy,X360,0.09,0.0,0.0,0.01
444,Rhythm Heaven,2008.0,Misc,DS,0.55,0.5,1.93,0.13
2361,Rhythm Heaven,,Misc,Wii,0.11,0.0,0.77,0.01
4945,Robert Ludlum's The Bourne Conspiracy,,Action,PS3,0.18,0.14,0.0,0.06
4445,Robert Ludlum's The Bourne Conspiracy,,Action,X360,0.26,0.13,0.0,0.04
7367,Robotech: Battlecry,,Shooter,XB,0.16,0.05,0.0,0.01
3286,Robotech: Battlecry,2002.0,Shooter,PS2,0.3,0.23,0.0,0.08
8484,Robotech: Battlecry,2002.0,Shooter,GC,0.13,0.03,0.0,0.0
1840,Rock Band,,Misc,PS2,0.71,0.06,0.0,0.35
627,Rock Band,,Misc,X360,1.93,0.33,0.0,0.21
1142,Rock Band,,Misc,PS3,0.99,0.41,0.0,0.22
805,Rock Band,,Misc,Wii,1.33,0.56,0.0,0.2
10411,Rock Revolution,2008.0,Misc,DS,0.1,0.0,0.0,0.01
6356,Rock Revolution,,Misc,PS3,0.25,0.0,0.0,0.02
6277,Rock Revolution,2008.0,Misc,X360,0.25,0.0,0.0,0.02
11565,Rock Revolution,,Misc,Wii,0.07,0.0,0.0,0.01
1827,Rocksmith,2011.0,Misc,X360,0.84,0.19,0.01,0.08
1824,Rocksmith,2011.0,Misc,PS3,0.53,0.36,0.09,0.15
9706,Rocksmith,,Misc,PC,0.06,0.04,0.0,0.01
9489,RollerCoaster Tycoon,2003.0,Strategy,XB,0.1,0.03,0.0,0.0
13564,RollerCoaster Tycoon,,Strategy,PC,0.02,0.02,0.0,0.01
13565,Runaway: A Twist of Fate,2009.0,Adventure,PC,0.0,0.04,0.0,0.01
15535,Runaway: A Twist of Fate,,Adventure,DS,0.0,0.02,0.0,0.0
14210,Sabre Wulf,,Platform,GBA,0.02,0.01,0.0,0.0
15267,Saint,,Shooter,Wii,0.02,0.0,0.0,0.0
12741,Samurai Shodown Anthology,2008.0,Fighting,Wii,0.05,0.0,0.0,0.0
11016,Samurai Shodown Anthology,,Fighting,PSP,0.08,0.0,0.0,0.01
8830,Samurai Shodown Anthology,2008.0,Fighting,PS2,0.07,0.06,0.0,0.02
14597,Samurai Spirits: Tenkaichi Kenkakuden,,Fighting,PS2,0.0,0.0,0.03,0.0
9761,Saru! Get You! Million Monkeys,,Platform,PS2,0.0,0.0,0.12,0.0
13929,Sega Rally 2006,,Racing,PS2,0.0,0.0,0.04,0.0
6998,Shaun White Snowboarding,2008.0,Sports,DS,0.21,0.0,0.0,0.02
5777,Shaun White Snowboarding,2008.0,Sports,PS2,0.15,0.12,0.0,0.04
5644,Shaun White Snowboarding,2008.0,Sports,PSP,0.26,0.03,0.0,0.03
2536,Shaun White Snowboarding,,Sports,X360,0.48,0.25,0.0,0.08
3090,Shaun White Snowboarding,2008.0,Sports,PS3,0.31,0.23,0.01,0.1
